,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,profit,return_on_investment_perc
0,James Cameron,723.0,178.0,0.0,855.0,Joel David Moore,1000.0,760505847.0,CCH Pounder,Avatar ,886204.0,4834.0,Wes Studi,0.0,avatar|future|marine|native|paraplegic,3054.0,USA,PG-13,237000000.0,2009.0,936.0,7.9,33000.0,523505847.0,220.8885430379747
1,Gore Verbinski,302.0,169.0,563.0,1000.0,Orlando Bloom,40000.0,309404152.0,Johnny Depp,Pirates of the Caribbean: At World's End ,471220.0,48350.0,Jack Davenport,0.0,goddess|marriage ceremony|marriage proposal|pirate|singapore,1238.0,USA,PG-13,300000000.0,2007.0,5000.0,7.1,0.0,9404152.0,3.134717333333333
2,Sam Mendes,602.0,148.0,0.0,161.0,Rory Kinnear,11000.0,200074175.0,Christoph Waltz,Spectre ,275868.0,11700.0,Stephanie Sigman,1.0,bomb|espionage|sequel|spy|terrorist,994.0,UK,PG-13,245000000.0,2015.0,393.0,6.8,85000.0,-44925825.0,-18.337071428571427
3,Christopher Nolan,813.0,164.0,22000.0,23000.0,Christian Bale,27000.0,448130642.0,Tom Hardy,The Dark Knight Rises ,1144337.0,106759.0,Joseph Gordon-Levitt,0.0,deception|imprisonment|lawlessness|police officer|terrorist plot,2701.0,USA,PG-13,250000000.0,2012.0,23000.0,8.5,164000.0,198130642.0,79.2522568
5,Andrew Stanton,462.0,132.0,475.0,530.0,Samantha Morton,640.0,73058679.0,Daryl Sabara,John Carter ,212204.0,1873.0,Polly Walker,1.0,alien|american civil war|male nipple|mars|princess,738.0,USA,PG-13,263700000.0,2012.0,632.0,6.6,24000.0,-190641321.0,-72.29477474402731
6,Sam Raimi,392.0,156.0,0.0,4000.0,James Franco,24000.0,336530303.0,J.K. Simmons,Spider-Man 3 ,383056.0,46055.0,Kirsten Dunst,0.0,sandman|spider man|symbiote|venom|villain,1902.0,USA,PG-13,258000000.0,2007.0,11000.0,6.2,0.0,78530303.0,30.438101937984495
7,Nathan Greno,324.0,100.0,15.0,284.0,Donna Murphy,799.0,200807262.0,Brad Garrett,Tangled ,294810.0,2036.0,M.C. Gainey,1.0,17th century|based on fairy tale|disney|flower|tower,387.0,USA,PG,260000000.0,2010.0,553.0,7.8,29000.0,-59192738.0,-22.766437692307694
8,Joss Whedon,635.0,141.0,0.0,19000.0,Robert Downey Jr.,26000.0,458991599.0,Chris Hemsworth,Avengers: Age of Ultron ,462669.0,92000.0,Scarlett Johansson,4.0,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,1117.0,USA,PG-13,250000000.0,2015.0,21000.0,7.5,118000.0,208991599.0,83.5966396
9,David Yates,375.0,153.0,282.0,10000.0,Daniel Radcliffe,25000.0,301956980.0,Alan Rickman,Harry Potter and the Half-Blood Prince ,321795.0,58753.0,Rupert Grint,3.0,blood|book|love|potion|professor,973.0,UK,PG,250000000.0,2009.0,11000.0,7.5,10000.0,51956980.0,20.782792
10,Zack Snyder,673.0,183.0,0.0,2000.0,Lauren Cohan,15000.0,330249062.0,Henry Cavill,Batman v Superman: Dawn of Justice ,371639.0,24450.0,Alan D. Purwin,0.0,based on comic book|batman|sequel to a reboot|superhero|superman,3018.0,USA,PG-13,250000000.0,2016.0,4000.0,6.9,197000.0,80249062.0,32.0996248
